what,when,with,where,why
Tree mortality modelling,"April, 2020",Department of Biology,Texas A&M University-Kingsville,Invited guest talk on Tree mortality modelling in East Texas Forests using Fores Inventory and Analysis Data
Drought Induced Tree Mortality,"April, 2016",Department of Biology,Texas A&M University-Kingsville,Invited guest talk on Evaluating extreme drought-induced tree mortality and biomass loss in east Texas using Forest Inventory and Analysis (FIA) data
spatio-temporal drought and tree mortality,"March,  2016",World Wood Day,"Kathmandu, Nepal","Invited guest talk on Geospatial distribution of drought and drought- induced tree mortality in the east Texas, USA: an implication for sustainable forest management"
Forest Fire in Nepal,"April, 2012",Forest Fire workshop,"ICIMOD, Nepal","Presented on Needs and gaps, regional networking and collaboration for ways to adopt innovative geospatial technologies for forest fire monitoring and management"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
