what,when,with,where,why,highlight
Post-Doctoral Associate,Jun.2022 - Present,Warnell School of Forestry,"Athens, GA","Designed and implemented a comprehensive Light Detection and Ranging (LiDAR) and Global Ecosystem Dynamics Investigation (GEDI) data processing workflow, ensuring seamless integration with Forest Inventory and Analysis (FIA) data for accurate and detailed forest assessments.",1
,,,,Various quality control measures on processed LiDAR and GEDI data to ensure data accuracy and reliability in subsequent analyses.,1
,,,,"Collaborated with multidisciplinary teams to integrate the LiDAR and GEDI datasets with the FIA data, enhancing the overall precision of forest inventory assessments.",0
,,,,"Provided mentorship to graduate students, offering guidance on research design, data collection methodologies, and advanced geospatial analysis techniques.",0
,,,,"Collaborated with students on refining project objectives, resulting in improved project outcomes and contributing to the overall academic success of the research team.",0
,,,,"Developed a comprehensive methodology for identifying and mapping potential habitats for Northern Bobwhite, leveraging the combined power of LiDAR and FIA datasets.",1
,,,,"Conducted extensive spatial analyses to identify key habitat features, contributing valuable insights into the ecological requirements of Northern Bobwhite populations.",1
,,,,"Collaborated with wildlife experts to integrate habitat suitability models into decision-making processes, aiding in conservation and management strategies for Northern Bobwhite populations.",0
Graduate Research Assistant,Jan. 2019 - Aug.2022,Geospatial Research Technologies Lab,"Lubbock, TX","Developed a comprehensive methodology for high-resolution (NAIP orthoimagery) land use land cover (LULC) mapping over large extents (15 counties), utilizing advanced remote sensing techniques and spatial modeling.",1
,,,,"Integrated multi-sensor data sources, including satellite imagery, aerial photography, and ground truth data, to enhance the accuracy and detail of the LULC maps.",1
,,,,"Employed machine learning algorithms and classification techniques to automate the mapping process, resulting in time-efficient and consistently accurate land cover classifications.",1
,,,,"Oversaw the daily activities of undergraduate research assistants ( four in total), providing guidance on project tasks, data collection methods, and GIS analysis techniques.",1
,,,,"Conducted regular training sessions to enhance the technical skills of the research team, fostering a collaborative and learning-oriented environment.",1
,,,,"Collaborated with fellow lab members on diverse geospatial projects, offering expertise in data analysis, interpretation, and visualization.",1
,,,,"Provided support in the selection and application of appropriate geospatial analysis methods, ensuring the accuracy and reliability of research outcomes.",1
,,,,"Conducted quality assurance checks on geospatial datasets, identifying and rectifying inconsistencies to maintain data integrity.",1
Research Assistant,Aug. 2017 - Dec.  2018,West Virginia University,"Morgantown, WV","Collaborated with the project supervisor to analyze tree ring datasets, ensuring accuracy and reliability in the interpretation of research findings.",1
,,,,Prepared detailed reports summarizing research outcomes.,0
,,,,"Developed and executed a comprehensive forest inventory plan, including the establishment of sampling protocols and data collection methodologies.",1
,,,,"Applied advanced GIS techniques to integrate spatial data with forest inventory information, enhancing the precision of resource assessments.",1
,,,,"Implemented automated data logging systems using MayFly data loggers, improving efficiency in soil moisture and temperature collection.",1
,,,,Conducted regular maintenance and calibration of data loggers to ensure the reliability of recorded soil variables and sap flow measurment.,1
GIS Analyst-Intern,Aug. 2016 - May. 2017,Geospatial Research Laboratory (GSRL),"Kingsville, TX","Offered expertise in troubleshooting ArcGIS suite-related issues, ensuring the seamless functioning of geospatial analysis tools within the GSRL.",1
,,,,"Contributed to lab upgrades, including software updates and hardware enhancements, optimizing the overall efficiency of GIS operations.",1
,,,,"Provided training sessions for the new lab manager, ensuring a smooth transition and continuity in the laboratory's operational processes.",1
,,,,"Established standardized procedures for lab management, including data organization, storage, and maintenance.",1
